Nazv;Opisanie;Cena;Rating;Otzyv
Планшет DIGMA CITI 10 E402 4G;"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDоперативная память: 2 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10";7190;NA;NA
Планшет Lenovo Tab M8 TB-8505X 32Gb (2019);"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio A22операционная система: Android 9.0";9990;4,4;33
Планшет DIGMA Optima Prime 5 3G (2018);"диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Cоперационная система: Android 8.1";3530;4,4;14
Планшет HUAWEI MediaPad M5 Lite 10 64Gb LTE;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0";18850;4,5;14
Планшет DIGMA Plane 7594 3G;"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБоперационная система: Android 9.0камеры: основная 2 МП, фронтальная 0.30 МП";4440;4,3;37
Планшет Blackview Tab 8;"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDоперативная память: 4 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10";12150;4,3;22
Планшет Samsung Galaxy Tab S6 Lite 10.4 SM-P615 128Gb LTE (2020);"диагональ: 10.4"" (2000x1200) TFTвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Samsung Exynos 9611операционная система: Android 10";27718;4,5;19
Планшет BQ 7040G Charm Plus;"диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Unisoc SC7731Eоперационная система: Android 9.1";4722;4;25
Планшет Apple iPad (2019) 32Gb Wi-Fi;"диагональ: 10.2"" (2160x1620) IPSвстроенная память: 32 ГБоперативная память: 2 ГБпроцессор: Apple A10операционная система: iOS";26990;4,7;151
Планшет HUAWEI Mediapad T3 10 2Gb 32Gb LTE (2017);"диагональ: 9.6"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 425операционная система: Android 7.0";12990;4,6;5
Планшет DIGMA Optima 7 Z800 4G;"диагональ: 7"" (1920x1080) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Spreadtrum SC9863операционная система: Android 10";7666;3,7;9
Планшет Apple iPad Air 16Gb Wi-Fi;"диагональ: 9.7"" (2048x1536) IPSвстроенная память: 16 ГБоперативная память: 1 ГБпроцессор: Apple A7операционная система: iOS";9480;4,5;50
Планшет Prestigio Q Pro;"диагональ: 8"" (1280x800) IPSвстроенная память: 16 ГБ, слот SDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832Eоперационная система: Android 9.0";7189;5;NA
Планшет HUAWEI MatePad Pro WiFi 128Gb;"диагональ: 10.8"" (2560x1600) IPSвстроенная память: 128 ГБ, слот NMоперативная память: 6 ГБпроцессор: HiSilicon Kirin 990операционная система: Android";36490;4,5;109
Планшет Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi;"диагональ: 12.9"" (2732x2048) IPSвстроенная память: 128 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionicоперационная система: iOS";74990;4,7;32
Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb (2019);"диагональ: 10.1"" (1920x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Samsung Exynos 7904операционная система: Android 9.0";15950;4,6;232
Планшет Jumper EZpad Pro 8 8Gb;"диагональ: 11.6"" (1920x1080) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 8 ГБпроцессор: Intel Celeron N3450операционная система: Windows 10";25990;NA;NA
Планшет BQ 7083G Light (2017);"диагональ: 7"" (1024x600)встроенная память: 8 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Cоперационная система: Android 7.0";3399;3,6;9
Планшет HUAWEI MatePad WiFi 128Gb;"диагональ: 10.4"" (2000x1200) IPSвстроенная память: 128 ГБ, слот microSDоперативная память: 4 ГБпроцессор: HiSilicon Kirin 820операционная система: Android 10";22490;3,3;2
Планшет HUAWEI MediaPad T5 10 16Gb LTE (2018);"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: HiSilicon Kirin 659операционная система: Android 8.0";10590;4,5;80
Планшет DIGMA CITI 7587 3G (2019);"диагональ: 7"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8321операционная система: Android 9.0";5390;4,3;23
Планшет BQ 7036L Hornet (2018);"диагональ: 7"" (1024x600) IPSвстроенная память: 8 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1";3990;4,3;4
Планшет Alcatel 3T 8 (2020);"диагональ: 8"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek MT8766Bоперационная система: Android 10";8048;4,2;1
Планшет TurboKids Princess (3G, 16 Гб);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБоперационная система: Android 8.1камеры: основная 2 МП, фронтальная 0.30 МП";5411;4;15
Планшет TurboPad Pro 16GB (2020);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 2 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 10";7058;NA;NA
Планшет TurboPad MonsterPad 2 3G 16GB (2020);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDHCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1";5488;3,9;13
Планшет alldocube X Neo 64GB LTE;"диагональ: 10.5"" (2560x1600) Super AMOLEDвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 660операционная система: Android 9.0";24190;4;1
Планшет BQ 1024L Exion Pro (2020);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9863Aоперационная система: Android 10";8666;4,3;2
Планшет Samsung Galaxy Tab S7+ 12.4 SM-T970 128Gb Wi-Fi (2020);"диагональ: 12.4"" (2800x1752) Super AMOLEDвстроенная память: 128 ГБ, слот microSDXCоперативная память: 6 ГБпроцессор: Qualcomm Snapdragon 865+операционная система: Android 10";53490;4,6;32
Планшет Prestigio Wize PMT4317 3G (2019);"диагональ: 7"" (1024x600) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1 ГБпроцессор: Spreadtrum SC7731Eоперационная система: Android 8.1";4990;4,4;12
Планшет Lenovo Tab M10 TB-X505F 16Gb (2019);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Qualcomm Snapdragon 429операционная система: Android 9.0";10490;4,6;6
Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi;"диагональ: 11"" (2388x1668) IPSвстроенная память: 256 ГБоперативная память: 6 ГБпроцессор: Apple A12Z Bionicоперационная система: iOS";67569;4,7;10
Планшет HUAWEI MediaPad M3 Lite 10 16Gb LTE (2017);"диагональ: 10.1"" (1920x1200) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 435операционная система: Android 7.0";12990;4,3;8
Планшет BQ 1085L Hornet Max Pro (2018);"диагональ: 10.1"" (1280x800) IPSвстроенная память: 16 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: Spreadtrum SC9832операционная система: Android 8.1";6490;4,2;20
Планшет Alcatel TKEE MINI 8052;"диагональ: 7"" (1024x600) TFTвстроенная память: 16 ГБ, слот microSDXCоперативная память: 1.5 ГБпроцессор: MediaTek MT8167Dоперационная система: Android 9.0";5840;4,5;4
